state,stage,sex,date,completion
Malaysia,primary,both,2016-01-01,98.37
Malaysia,primary,both,2017-01-01,98.07
Malaysia,primary,both,2018-01-01,97.67
Malaysia,primary,both,2019-01-01,98.0
Malaysia,primary,both,2020-01-01,98.4
Malaysia,primary,both,2021-01-01,99.0
Malaysia,primary,both,2022-01-01,99.3
Malaysia,primary,female,2016-01-01,99.14
Malaysia,primary,female,2017-01-01,98.83
Malaysia,primary,female,2018-01-01,98.52
Malaysia,primary,female,2019-01-01,98.7
Malaysia,primary,female,2020-01-01,99.3
Malaysia,primary,female,2021-01-01,100.5
Malaysia,primary,female,2022-01-01,100.1
Malaysia,primary,male,2016-01-01,97.64
Malaysia,primary,male,2017-01-01,97.34
Malaysia,primary,male,2018-01-01,96.86
Malaysia,primary,male,2019-01-01,97.2
Malaysia,primary,male,2020-01-01,97.6
Malaysia,primary,male,2021-01-01,97.5
Malaysia,primary,male,2022-01-01,98.7
Malaysia,secondary_lower,both,2016-01-01,95.582
Malaysia,secondary_lower,both,2017-01-01,97.7251
Malaysia,secondary_lower,both,2018-01-01,96.6377
Malaysia,secondary_lower,both,2019-01-01,96.7
Malaysia,secondary_lower,both,2020-01-01,97.8
Malaysia,secondary_lower,both,2021-01-01,99.8
Malaysia,secondary_lower,both,2022-01-01,99.0
Malaysia,secondary_lower,female,2016-01-01,97.0444
Malaysia,secondary_lower,female,2017-01-01,98.6532
Malaysia,secondary_lower,female,2018-01-01,97.6811
Malaysia,secondary_lower,female,2019-01-01,98.0
Malaysia,secondary_lower,female,2020-01-01,99.3
Malaysia,secondary_lower,female,2021-01-01,100.4
Malaysia,secondary_lower,female,2022-01-01,98.9
Malaysia,secondary_lower,male,2016-01-01,94.1613
Malaysia,secondary_lower,male,2017-01-01,96.813
Malaysia,secondary_lower,male,2018-01-01,95.6254
Malaysia,secondary_lower,male,2019-01-01,95.4
Malaysia,secondary_lower,male,2020-01-01,96.4
Malaysia,secondary_lower,male,2021-01-01,99.2
Malaysia,secondary_lower,male,2022-01-01,99.2
Malaysia,secondary_upper,both,2016-01-01,99.2484
Malaysia,secondary_upper,both,2017-01-01,96.3806
Malaysia,secondary_upper,both,2018-01-01,95.6307
Malaysia,secondary_upper,both,2019-01-01,97.5
Malaysia,secondary_upper,both,2020-01-01,92.8
Malaysia,secondary_upper,both,2021-01-01,97.8
Malaysia,secondary_upper,both,2022-01-01,99.2
Malaysia,secondary_upper,female,2016-01-01,99.4922
Malaysia,secondary_upper,female,2017-01-01,97.492
Malaysia,secondary_upper,female,2018-01-01,96.5132
Malaysia,secondary_upper,female,2019-01-01,98.9
Malaysia,secondary_upper,female,2020-01-01,93.6
Malaysia,secondary_upper,female,2021-01-01,97.9
Malaysia,secondary_upper,female,2022-01-01,99.3
Malaysia,secondary_upper,male,2016-01-01,98.9922
Malaysia,secondary_upper,male,2017-01-01,95.2126
Malaysia,secondary_upper,male,2018-01-01,94.7178
Malaysia,secondary_upper,male,2019-01-01,96.1
Malaysia,secondary_upper,male,2020-01-01,92.0
Malaysia,secondary_upper,male,2021-01-01,97.6
Malaysia,secondary_upper,male,2022-01-01,99.1
Johor,primary,both,2016-01-01,99.06
Johor,primary,both,2017-01-01,99.14
Johor,primary,both,2018-01-01,97.56
Johor,primary,both,2019-01-01,97.7
Johor,primary,both,2020-01-01,98.2
Johor,primary,both,2021-01-01,95.5
Johor,primary,both,2022-01-01,99.0
Johor,primary,female,2016-01-01,99.48
Johor,primary,female,2017-01-01,99.71
Johor,primary,female,2018-01-01,98.2
Johor,primary,female,2019-01-01,98.2
Johor,primary,female,2020-01-01,98.9
Johor,primary,female,2021-01-01,99.7
Johor,primary,female,2022-01-01,99.3
Johor,primary,male,2016-01-01,98.67
Johor,primary,male,2017-01-01,98.59
Johor,primary,male,2018-01-01,96.97
Johor,primary,male,2019-01-01,97.2
Johor,primary,male,2020-01-01,97.6
Johor,primary,male,2021-01-01,91.8
Johor,primary,male,2022-01-01,98.7
Johor,secondary_lower,both,2016-01-01,94.7645
Johor,secondary_lower,both,2017-01-01,99.5251
Johor,secondary_lower,both,2018-01-01,99.6891
Johor,secondary_lower,both,2019-01-01,95.2
Johor,secondary_lower,both,2020-01-01,96.9
Johor,secondary_lower,both,2021-01-01,97.9
Johor,secondary_lower,both,2022-01-01,100.1
Johor,secondary_lower,female,2016-01-01,96.7463
Johor,secondary_lower,female,2017-01-01,100.5709
Johor,secondary_lower,female,2018-01-01,99.4141
Johor,secondary_lower,female,2019-01-01,96.8
Johor,secondary_lower,female,2020-01-01,98.3
Johor,secondary_lower,female,2021-01-01,98.4
Johor,secondary_lower,female,2022-01-01,97.6
Johor,secondary_lower,male,2016-01-01,92.884
Johor,secondary_lower,male,2017-01-01,98.5141
Johor,secondary_lower,male,2018-01-01,99.9562
Johor,secondary_lower,male,2019-01-01,93.5
Johor,secondary_lower,male,2020-01-01,95.6
Johor,secondary_lower,male,2021-01-01,97.4
Johor,secondary_lower,male,2022-01-01,102.5
Johor,secondary_upper,both,2016-01-01,99.5156
Johor,secondary_upper,both,2017-01-01,99.2906
Johor,secondary_upper,both,2018-01-01,93.7421
Johor,secondary_upper,both,2019-01-01,98.0
Johor,secondary_upper,both,2020-01-01,89.2
Johor,secondary_upper,both,2021-01-01,97.0
Johor,secondary_upper,both,2022-01-01,98.1
Johor,secondary_upper,female,2016-01-01,99.9629
Johor,secondary_upper,female,2017-01-01,100.545
Johor,secondary_upper,female,2018-01-01,94.899
Johor,secondary_upper,female,2019-01-01,98.6
Johor,secondary_upper,female,2020-01-01,90.1
Johor,secondary_upper,female,2021-01-01,97.2
Johor,secondary_upper,female,2022-01-01,98.5
Johor,secondary_upper,male,2016-01-01,99.0459
Johor,secondary_upper,male,2017-01-01,97.966
Johor,secondary_upper,male,2018-01-01,92.5617
Johor,secondary_upper,male,2019-01-01,97.4
Johor,secondary_upper,male,2020-01-01,88.3
Johor,secondary_upper,male,2021-01-01,96.8
Johor,secondary_upper,male,2022-01-01,97.8
Kedah,primary,both,2016-01-01,99.97
Kedah,primary,both,2017-01-01,100.12
Kedah,primary,both,2018-01-01,100.34
Kedah,primary,both,2019-01-01,100.2
Kedah,primary,both,2020-01-01,100.1
Kedah,primary,both,2021-01-01,97.2
Kedah,primary,both,2022-01-01,101.1
Kedah,primary,female,2016-01-01,100.85
Kedah,primary,female,2017-01-01,100.84
Kedah,primary,female,2018-01-01,101.4
Kedah,primary,female,2019-01-01,100.8
Kedah,primary,female,2020-01-01,100.9
Kedah,primary,female,2021-01-01,99.3
Kedah,primary,female,2022-01-01,102.4
Kedah,primary,male,2016-01-01,99.11
Kedah,primary,male,2017-01-01,99.43
Kedah,primary,male,2018-01-01,99.33
Kedah,primary,male,2019-01-01,99.6
Kedah,primary,male,2020-01-01,99.3
Kedah,primary,male,2021-01-01,95.3
Kedah,primary,male,2022-01-01,99.8
Kedah,secondary_lower,both,2016-01-01,95.9472
Kedah,secondary_lower,both,2017-01-01,97.3087
Kedah,secondary_lower,both,2018-01-01,96.3721
Kedah,secondary_lower,both,2019-01-01,96.1
Kedah,secondary_lower,both,2020-01-01,96.8
Kedah,secondary_lower,both,2021-01-01,100.3
Kedah,secondary_lower,both,2022-01-01,99.4
Kedah,secondary_lower,female,2016-01-01,97.6341
Kedah,secondary_lower,female,2017-01-01,97.6467
Kedah,secondary_lower,female,2018-01-01,97.7081
Kedah,secondary_lower,female,2019-01-01,98.1
Kedah,secondary_lower,female,2020-01-01,98.6
Kedah,secondary_lower,female,2021-01-01,100.9
Kedah,secondary_lower,female,2022-01-01,99.2
Kedah,secondary_lower,male,2016-01-01,94.3062
Kedah,secondary_lower,male,2017-01-01,96.9697
Kedah,secondary_lower,male,2018-01-01,95.0751
Kedah,secondary_lower,male,2019-01-01,94.1
Kedah,secondary_lower,male,2020-01-01,95.0
Kedah,secondary_lower,male,2021-01-01,99.7
Kedah,secondary_lower,male,2022-01-01,99.6
Kedah,secondary_upper,both,2016-01-01,99.0933
Kedah,secondary_upper,both,2017-01-01,97.451
Kedah,secondary_upper,both,2018-01-01,95.7661
Kedah,secondary_upper,both,2019-01-01,96.6
Kedah,secondary_upper,both,2020-01-01,96.7
Kedah,secondary_upper,both,2021-01-01,100.5
Kedah,secondary_upper,both,2022-01-01,99.2
Kedah,secondary_upper,female,2016-01-01,98.8679
Kedah,secondary_upper,female,2017-01-01,98.573
Kedah,secondary_upper,female,2018-01-01,97.5336
Kedah,secondary_upper,female,2019-01-01,97.9
Kedah,secondary_upper,female,2020-01-01,97.9
Kedah,secondary_upper,female,2021-01-01,100.0
Kedah,secondary_upper,female,2022-01-01,99.6
Kedah,secondary_upper,male,2016-01-01,99.3418
Kedah,secondary_upper,male,2017-01-01,96.2206
