state,district,stage,sex,date,students
Malaysia,All Districts,primary,both,2017-01-01,2689810
Malaysia,All Districts,primary,both,2018-01-01,2694779
Malaysia,All Districts,primary,both,2019-01-01,2729704
Malaysia,All Districts,primary,both,2020-01-01,2741995
Malaysia,All Districts,primary,both,2021-01-01,2766202
Malaysia,All Districts,primary,both,2022-01-01,2770015
Malaysia,All Districts,primary,female,2017-01-01,1316585
Malaysia,All Districts,primary,female,2018-01-01,1312807
Malaysia,All Districts,primary,female,2019-01-01,1330201
Malaysia,All Districts,primary,female,2020-01-01,1335484
Malaysia,All Districts,primary,female,2021-01-01,1346898
Malaysia,All Districts,primary,female,2022-01-01,1348358
Malaysia,All Districts,primary,male,2017-01-01,1373225
Malaysia,All Districts,primary,male,2018-01-01,1381972
Malaysia,All Districts,primary,male,2019-01-01,1399503
Malaysia,All Districts,primary,male,2020-01-01,1406511
Malaysia,All Districts,primary,male,2021-01-01,1419304
Malaysia,All Districts,primary,male,2022-01-01,1421657
Malaysia,All Districts,secondary,both,2017-01-01,2133323
Malaysia,All Districts,secondary,both,2018-01-01,1947606
Malaysia,All Districts,secondary,both,2019-01-01,1930241
Malaysia,All Districts,secondary,both,2020-01-01,1920485
Malaysia,All Districts,secondary,both,2021-01-01,1959787
Malaysia,All Districts,secondary,both,2022-01-01,1984995
Malaysia,All Districts,secondary,female,2017-01-01,1085617
Malaysia,All Districts,secondary,female,2018-01-01,977661
Malaysia,All Districts,secondary,female,2019-01-01,968400
Malaysia,All Districts,secondary,female,2020-01-01,959048
Malaysia,All Districts,secondary,female,2021-01-01,972095
Malaysia,All Districts,secondary,female,2022-01-01,980620
Malaysia,All Districts,secondary,male,2017-01-01,1047706
Malaysia,All Districts,secondary,male,2018-01-01,969945
Malaysia,All Districts,secondary,male,2019-01-01,961841
Malaysia,All Districts,secondary,male,2020-01-01,961437
Malaysia,All Districts,secondary,male,2021-01-01,987692
Malaysia,All Districts,secondary,male,2022-01-01,1004375
Malaysia,All Districts,post_secondary,both,2018-01-01,128012
Malaysia,All Districts,post_secondary,both,2019-01-01,115536
Malaysia,All Districts,post_secondary,both,2020-01-01,68296
Malaysia,All Districts,post_secondary,both,2021-01-01,64904
Malaysia,All Districts,post_secondary,both,2022-01-01,66770
Malaysia,All Districts,post_secondary,female,2018-01-01,78463
Malaysia,All Districts,post_secondary,female,2019-01-01,70669
Malaysia,All Districts,post_secondary,female,2020-01-01,39822
Malaysia,All Districts,post_secondary,female,2021-01-01,39175
Malaysia,All Districts,post_secondary,female,2022-01-01,38268
Malaysia,All Districts,post_secondary,male,2018-01-01,49549
Malaysia,All Districts,post_secondary,male,2019-01-01,44867
Malaysia,All Districts,post_secondary,male,2020-01-01,28474
Malaysia,All Districts,post_secondary,male,2021-01-01,25729
Malaysia,All Districts,post_secondary,male,2022-01-01,28502
Johor,All Districts,primary,both,2017-01-01,326709
Johor,All Districts,primary,both,2018-01-01,328093
Johor,All Districts,primary,both,2019-01-01,331130
Johor,All Districts,primary,both,2020-01-01,331190
Johor,All Districts,primary,both,2021-01-01,331877
Johor,All Districts,primary,both,2022-01-01,331205
Johor,All Districts,primary,female,2017-01-01,158464
Johor,All Districts,primary,female,2018-01-01,159275
Johor,All Districts,primary,female,2019-01-01,161024
Johor,All Districts,primary,female,2020-01-01,161024
Johor,All Districts,primary,female,2021-01-01,161241
Johor,All Districts,primary,female,2022-01-01,161163
Johor,All Districts,primary,male,2017-01-01,168245
Johor,All Districts,primary,male,2018-01-01,168818
Johor,All Districts,primary,male,2019-01-01,170106
Johor,All Districts,primary,male,2020-01-01,170166
Johor,All Districts,primary,male,2021-01-01,170636
Johor,All Districts,primary,male,2022-01-01,170042
Johor,All Districts,secondary,both,2017-01-01,262069
Johor,All Districts,secondary,both,2018-01-01,240234
Johor,All Districts,secondary,both,2019-01-01,236489
Johor,All Districts,secondary,both,2020-01-01,236802
Johor,All Districts,secondary,both,2021-01-01,238814
Johor,All Districts,secondary,both,2022-01-01,238491
Johor,All Districts,secondary,female,2017-01-01,132845
Johor,All Districts,secondary,female,2018-01-01,120155
Johor,All Districts,secondary,female,2019-01-01,117891
Johor,All Districts,secondary,female,2020-01-01,117688
Johor,All Districts,secondary,female,2021-01-01,118063
Johor,All Districts,secondary,female,2022-01-01,117254
Johor,All Districts,secondary,male,2017-01-01,129224
Johor,All Districts,secondary,male,2018-01-01,120079
Johor,All Districts,secondary,male,2019-01-01,118598
Johor,All Districts,secondary,male,2020-01-01,119114
Johor,All Districts,secondary,male,2021-01-01,120751
Johor,All Districts,secondary,male,2022-01-01,121237
Johor,All Districts,post_secondary,both,2018-01-01,13666
Johor,All Districts,post_secondary,both,2019-01-01,12989
Johor,All Districts,post_secondary,both,2020-01-01,7064
Johor,All Districts,post_secondary,both,2021-01-01,6705
Johor,All Districts,post_secondary,both,2022-01-01,6938
Johor,All Districts,post_secondary,female,2018-01-01,8451
Johor,All Districts,post_secondary,female,2019-01-01,8028
Johor,All Districts,post_secondary,female,2020-01-01,4006
Johor,All Districts,post_secondary,female,2021-01-01,4013
Johor,All Districts,post_secondary,female,2022-01-01,3936
Johor,All Districts,post_secondary,male,2018-01-01,5215
Johor,All Districts,post_secondary,male,2019-01-01,4961
Johor,All Districts,post_secondary,male,2020-01-01,3058
Johor,All Districts,post_secondary,male,2021-01-01,2692
Johor,All Districts,post_secondary,male,2022-01-01,3002
Johor,Batu Pahat,primary,both,2017-01-01,37916
Johor,Batu Pahat,primary,both,2018-01-01,37173
Johor,Batu Pahat,primary,both,2019-01-01,36797
Johor,Batu Pahat,primary,both,2020-01-01,36317
Johor,Batu Pahat,primary,both,2021-01-01,36064
Johor,Batu Pahat,primary,both,2022-01-01,35543
Johor,Batu Pahat,primary,female,2017-01-01,18324
Johor,Batu Pahat,primary,female,2018-01-01,17993
Johor,Batu Pahat,primary,female,2019-01-01,17815
Johor,Batu Pahat,primary,female,2020-01-01,17499
Johor,Batu Pahat,primary,female,2021-01-01,17343
Johor,Batu Pahat,primary,female,2022-01-01,17137
Johor,Batu Pahat,primary,male,2017-01-01,19592
Johor,Batu Pahat,primary,male,2018-01-01,19180
Johor,Batu Pahat,primary,male,2019-01-01,18982
Johor,Batu Pahat,primary,male,2020-01-01,18818
Johor,Batu Pahat,primary,male,2021-01-01,18721
Johor,Batu Pahat,primary,male,2022-01-01,18406
Johor,Batu Pahat,secondary,both,2017-01-01,32997
Johor,Batu Pahat,secondary,both,2018-01-01,29601
Johor,Batu Pahat,secondary,both,2019-01-01,28659
Johor,Batu Pahat,secondary,both,2020-01-01,28329
