state,district,stage,sex,date,students
Johor,All Districts,primary,both,1/1/2022,331205
Kedah,All Districts,primary,both,1/1/2022,188524
Kelantan,All Districts,primary,both,1/1/2022,172145
Melaka,All Districts,primary,both,1/1/2022,86269
Negeri Sembilan,All Districts,primary,both,1/1/2022,108856
Pahang,All Districts,primary,both,1/1/2022,151624
Perak,All Districts,primary,both,1/1/2022,200543
Perlis,All Districts,primary,both,1/1/2022,24253
Pulau Pinang,All Districts,primary,both,1/1/2022,129598
Sabah,All Districts,primary,both,1/1/2022,292541
Sarawak,All Districts,primary,both,1/1/2022,235319
Selangor,All Districts,primary,both,1/1/2022,548622
Terengganu,All Districts,primary,both,1/1/2022,134557
W.P. Kuala Lumpur,All Districts,primary,both,1/1/2022,133531
W.P. Labuan,All Districts,primary,both,1/1/2022,9925
W.P. Putrajaya,All Districts,primary,both,1/1/2022,22503
